sector,price,bedRoom,built_up_area,estimated_annual_rent,Annual_Cashflow,ROI (%)
sector 84,1.5,3.0,1849.0,270000.00000000006,-1162017.0,-37.08
sector 105,1.2,4.0,900.0,216000.00000000003,-904812.0,-36.45
sector 63a,2.2,2.0,997.0,396000.00000000006,-1614979.0,-35.83
sector 67a,0.6,2.0,633.0,108000.00000000001,-468690.0,-37.28
sector 58,3.8,3.0,2164.0,684000.0000000001,-2799811.0,-35.92
sector 70,0.99,3.0,1416.0,178200.00000000003,-781423.0,-37.52
sector 79,1.3,3.0,1215.0,234000.00000000003,-990483.0,-36.69
sector 51,0.71,2.0,1007.0,127800.00000000001,-564248.0,-37.68
sector 37d,1.0,3.0,1602.0,180000.00000000003,-797406.0,-37.76
sector 61,1.6,2.0,1278.0,288000.00000000006,-1205160.0,-36.43
sector 88a,1.29,3.0,1642.0,232200.00000000003,-1003924.0,-37.19
sector 68,1.0,2.0,1311.0,180000.00000000003,-783438.0,-37.34
sector 8,0.82,2.0,891.0,147600.0,-636286.0,-37.12
sector 104,2.45,3.0,2131.0,441000.00000000006,-1845788.0,-36.43
sector 83,1.76,3.0,1500.0,316800.00000000006,-1328698.0,-36.48
sector 74,1.6,2.0,1272.0,288000.00000000006,-1204872.0,-36.42
sohna road,0.95,3.0,1065.0,171000.00000000003,-736355.0,-37.09
sector 109,0.79,3.0,1213.0,142200.00000000003,-630577.0,-37.78
sector 86,1.3,4.0,2521.0,234000.00000000003,-1053171.0,-38.13
sector 74,2.25,3.0,1900.0,405000.00000000006,-1693598.0,-36.41
sohna road,0.65,2.0,822.0,117000.00000000001,-513038.0,-37.52
sector 81,0.75,2.0,1397.0,135000.00000000003,-611189.0,-38.27
sector 69,3.1,4.0,2817.0,558000.0000000001,-2337298.0,-36.45
sector 72,4.1,3.0,2308.0,738000.0000000001,-3018376.0,-35.9
sector 102,1.98,3.0,2222.0,356400.00000000006,-1518566.0,-36.85
sector 65,2.44,3.0,1654.0,439200.00000000006,-1815837.0,-36.15
sector 12,0.72,2.0,1100.0,129600.00000000001,-575767.0,-37.82
sector 66,2.99,3.0,2000.0,538200.0000000001,-2220476.0,-36.1
sector 37d,1.49,3.0,1707.0,268200.00000000006,-1148146.0,-36.96
sector 69,2.6,4.0,2172.0,468000.00000000006,-1953583.0,-36.37
sector 65,2.0,3.0,1833.0,360000.00000000006,-1514005.0,-36.54
sector 52,5.5,9.0,2700.0,990000.0000000001,-4024907.0,-35.76
sector 37,0.4,2.0,667.0,72000.00000000001,-329220.0,-38.5
sector 90,0.92,3.0,2167.0,165600.00000000003,-768085.0,-38.84
gwal pahari,1.53,3.0,1589.0,275400.00000000006,-1170703.0,-36.79
sector 106,0.88,2.0,1120.0,158400.00000000003,-689609.0,-37.35
sector 102,1.9,3.0,2500.0,342000.00000000006,-1475470.0,-37.14
sector 46,5.65,8.0,2367.0,1017000.0000000001,-4114749.0,-35.65
sector 93,0.4,2.0,730.0,72000.00000000001,-332244.0,-38.72
sector 24,5.25,4.0,1350.0,945000.0000000001,-3783729.0,-35.41
sector 67,3.05,3.0,2200.0,549000.0000000001,-2272406.0,-36.18
sector 74,1.6,2.0,1508.0,288000.00000000006,-1216200.0,-36.64
sector 54,3.51,4.0,2844.0,631800.0000000001,-2627853.0,-36.29
sector 10,3.6,3.0,1836.0,648000.0000000001,-2642965.0,-35.84
sector 79,1.1,2.0,81.0,198000.00000000003,-794949.0,-35.47
sector 107,1.02,2.0,1388.0,183600.00000000003,-801245.0,-37.41
sector 81,0.95,2.0,1260.0,171000.00000000003,-745715.0,-37.39
sohna road,0.55,2.0,913.0,99000.00000000001,-446855.0,-38.2
sector 89,1.25,3.0,1288.0,225000.00000000003,-958712.0,-36.85
sector 4,0.92,1.0,603.0,165600.00000000003,-693013.0,-36.43
sector 90,0.65,2.0,1222.0,117000.00000000001,-532238.0,-38.38
sector 54,1.5,3.0,1700.0,270000.00000000006,-1154865.0,-36.94
sohna road,0.22,1.0,778.0,39600.00000000001,-207556.0,-41.78
sector 104,0.82,2.0,86.0,147600.0,-597646.0,-35.67
sector 109,2.95,4.0,3150.0,531000.0000000001,-2247455.0,-36.69
sector 86,0.87,2.0,1231.0,156600.00000000003,-687882.0,-37.56
sector 65,2.3,3.0,1833.0,414000.00000000006,-1725658.0,-36.34
sector 65,2.33,2.0,1141.0,419400.00000000006,-1713607.0,-35.88
sector 109,1.75,3.0,1946.0,315000.00000000006,-1343051.0,-36.86
sector 102,1.39,3.0,1493.0,250200.0,-1067323.0,-36.87
gwal pahari,0.38,1.0,565.0,68400.00000000001,-310214.0,-38.31
sohna road,0.78,3.0,1344.0,140400.00000000003,-629810.0,-38.05
sector 63,2.2,3.0,1554.0,396000.00000000006,-1641715.0,-36.21
sector 33,1.67,3.0,1857.0,300600.00000000006,-1282338.0,-36.87
sector 28,12.0,4.0,2844.0,2160000.0000000005,-8617636.0,-35.33
sector 36,0.45,1.0,452.0,81000.00000000001,-354176.0,-37.45
sector 50,2.35,3.0,1900.0,423000.00000000006,-1764149.0,-36.35
sector 48,2.0,3.0,1923.0,360000.00000000006,-1518325.0,-36.61
gwal pahari,1.5,4.0,2013.0,270000.00000000006,-1169889.0,-37.24
sector 113,1.9,3.0,1285.0,342000.00000000006,-1417150.0,-36.2
sector 107,0.49,2.0,598.0,88200.00000000001,-389404.0,-37.68
gwal pahari,1.45,3.0,1430.0,261000.00000000003,-1106630.0,-36.73
sector 69,1.43,3.0,1305.0,257400.00000000003,-1086520.0,-36.63
sector 79,1.4,3.0,1656.0,252000.00000000003,-1082202.0,-37.03
gwal pahari,5.25,4.0,5249.0,945000.0000000001,-3970881.0,-36.52
sector 69,1.9,4.0,1819.0,342000.00000000006,-1442782.0,-36.62
sector 104,1.75,3.0,2036.0,315000.00000000006,-1347371.0,-36.94
sector 33,1.15,2.0,1400.0,207000.00000000003,-893537.0,-37.15
sector 37,0.67,2.0,1086.0,120600.00000000001,-539820.0,-38.0
sector 95,0.2,1.0,407.0,36000.00000000001,-175638.0,-40.05
sector 69,1.68,3.0,1510.0,302400.00000000006,-1272737.0,-36.56
sector 25,6.3,4.0,1800.0,1134000.0000000002,-4546115.0,-35.44
sector 69,0.9,3.0,1326.0,162000.00000000003,-713607.0,-37.62
sohna road,0.26,2.0,535.0,46800.00000000001,-224113.0,-39.6
sector 67a,1.6,3.0,1346.0,288000.00000000006,-1208424.0,-36.49
sector 111,2.35,3.0,1615.0,423000.00000000006,-1750469.0,-36.17
sector 109,1.45,3.0,1797.0,261000.00000000003,-1124246.0,-37.1
sector 4,2.35,4.0,1440.0,423000.00000000006,-1742069.0,-36.06
sector 89,1.2,3.0,1423.0,216000.00000000003,-929916.0,-37.09
sector 45,16.0,6.0,4500.0,2880000.0000000005,-11519165.0,-35.39
sector 99,0.3,2.0,500.0,54000.00000000001,-250653.0,-38.86
sector 83,1.3,3.0,2588.0,234000.00000000003,-1056387.0,-38.2
sector 99,0.4,2.0,733.0,72000.00000000001,-332388.0,-38.73
sector 112,0.7,2.0,1498.0,126000.00000000001,-580761.0,-38.69
sector 3,0.55,1.0,750.0,99000.00000000001,-439031.0,-37.78
sector 7,2.0,2.0,1440.0,360000.00000000006,-1495141.0,-36.25
sector 4,0.8,2.0,675.0,144000.00000000003,-611808.0,-36.78
sector 2,0.2,1.0,556.0,36000.00000000001,-182790.0,-41.01
sector 109,6.0,4.0,6228.0,1080000.0000000002,-4547006.0,-36.57
sector 85,0.88,3.0,1344.0,158400.00000000003,-700361.0,-37.71
sector 102,1.4,3.0,1315.0,252000.00000000003,-1065834.0,-36.68
sector 108,3.35,3.0,2525.0,603000.0000000001,-2499660.0,-36.21
sector 102,1.76,3.0,1531.0,316800.00000000006,-1330186.0,-36.51
sector 99,0.85,2.0,1133.0,153000.00000000003,-669068.0,-37.45
sector 4,0.42,2.0,833.0,75600.00000000001,-351298.0,-38.89
sector 7,1.55,2.0,1080.0,279000.00000000006,-1160381.0,-36.29
sector 86,0.78,2.0,1231.0,140400.00000000003,-624386.0,-37.85
sector 33,1.1,2.0,1275.0,198000.00000000003,-852261.0,-37.08
sector 69,1.42,3.0,1428.0,255600.00000000003,-1085369.0,-36.77
sector 108,0.7,2.0,1362.0,126000.00000000001,-574233.0,-38.43
sector 38,2.1,4.0,1954.0,378000.00000000006,-1590364.0,-36.55
sector 50,7.5,3.0,2160.0,1350000.0000000002,-5410007.0,-35.43
sector 92,0.95,4.0,1983.0,171000.00000000003,-780419.0,-38.46
sector 33,3.25,4.0,4809.0,585000.0000000001,-2538740.0,-37.28
sector 56,1.7,3.0,2200.0,306000.00000000006,-1319968.0,-37.13
sector 88a,1.19,2.0,1387.0,214200.00000000003,-921133.0,-37.06
sector 23,1.2,3.0,1500.0,216000.00000000003,-933612.0,-37.18
sector 102,1.4,2.0,1166.0,252000.00000000003,-1058682.0,-36.52
sector 48,1.76,3.0,1576.0,316800.00000000006,-1332346.0,-36.54
sector 86,1.45,3.0,1480.0,261000.00000000003,-1109030.0,-36.78
sector 69,1.4,3.0,1428.0,252000.00000000003,-1071258.0,-36.79
sector 62,7.15,4.0,3925.0,1287000.0000000002,-5247799.0,-35.83
sector 67,2.72,4.0,2250.0,489600.0000000001,-2041988.0,-36.35
sector 93,0.4,2.0,604.0,72000.00000000001,-326196.0,-38.29
sector 70a,1.1,2.0,1312.0,198000.00000000003,-854037.0,-37.13
sector 70a,1.34,2.0,1180.0,241200.00000000003,-1017024.0,-36.6
sohna road,0.95,2.0,1050.0,171000.00000000003,-735635.0,-37.07
sector 48,19.5,5.0,8775.0,3510000.0000000005,-14193651.0,-35.64
sector 112,5.6,4.0,3662.34,1008000.0000000001,-4141650.0,-36.01
sector 91,0.96,2.0,1271.0,172800.00000000003,-753298.0,-37.38
sector 81,2.34,3.0,1760.0,421200.00000000006,-1750374.0,-36.27
sector 43,3.25,4.0,3115.0,585000.0000000001,-2457428.0,-36.52
sector 77,1.25,3.0,1310.0,225000.00000000003,-959768.0,-36.87
sector 61,1.47,2.0,1333.0,264600.00000000006,-1116084.0,-36.61
sector 36,0.75,3.0,1081.0,135000.00000000003,-596021.0,-37.68
sector 28,10.5,5.0,3240.0,1890000.0000000002,-7578378.0,-35.45
sector 2,0.98,2.0,1416.0,176400.00000000003,-774368.0,-37.54
sector 69,1.66,3.0,1482.0,298800.00000000006,-1257283.0,-36.56
sector 56,0.52,1.0,475.0,93600.00000000001,-404665.0,-37.19
sohna road,0.66,2.0,978.0,118800.00000000001,-527581.0,-37.82
sector 12,0.7,4.0,1700.0,126000.00000000001,-590457.0,-39.09
sector 2,9.0,5.0,4680.0,1620000.0000000002,-6589233.0,-35.77
sector 85,1.2,2.0,1380.0,216000.00000000003,-927852.0,-37.04
sector 36,0.36,1.0,407.0,64800.00000000001,-288520.0,-37.88
sector 5,3.5,6.0,2250.0,630000.0000000001,-2592286.0,-36.04
sector 67,2.35,3.0,1751.0,423000.00000000006,-1756997.0,-36.26
sector 70a,1.51,3.0,1788.0,271800.00000000006,-1166145.0,-37.01
sector 83,0.85,2.0,1100.0,153000.00000000003,-667484.0,-37.4
sector 85,1.05,2.0,97.0,189000.00000000003,-760442.0,-35.52
sector 72,1.9,3.0,1787.0,342000.00000000006,-1441246.0,-36.59
sector 25,6.25,5.0,1800.0,1125000.0000000002,-4510839.0,-35.44
sector 89,1.32,3.0,867.0,237600.00000000003,-987890.0,-36.28
sector 106,0.88,2.0,940.0,158400.00000000003,-680969.0,-37.06
sector 37d,1.5,3.0,1376.0,270000.00000000006,-1139313.0,-36.62
sector 109,1.75,3.0,1550.0,315000.00000000006,-1324043.0,-36.53
sector 37,0.9,3.0,1435.0,162000.00000000003,-718839.0,-37.8
sector 67,3.0,3.0,2047.0,540000.0000000001,-2229787.0,-36.12
sohna road,0.28,2.0,588.0,50400.000000000015,-240767.0,-39.55
sohna road,0.56,2.0,913.0,100800.00000000003,-453910.0,-38.14
sector 12,3.71,3.0,1872.0,667800.0000000001,-2722299.0,-35.82
sector 113,2.85,3.0,2006.0,513000.00000000006,-2121992.0,-36.16
sector 37,1.25,3.0,1563.0,225000.00000000003,-971912.0,-37.17
sector 104,2.0,3.0,2072.0,360000.00000000006,-1525477.0,-36.72
sector 107,0.35,2.0,608.0,63000.00000000001,-291113.0,-38.75
sector 109,2.15,3.0,1896.0,387000.00000000006,-1622855.0,-36.48
sector 77,1.64,4.0,1765.0,295200.0,-1256757.0,-36.83
sector 4,0.85,3.0,1130.0,153000.00000000003,-668924.0,-37.45
sector 47,2.4,3.0,2667.0,432000.00000000006,-1836241.0,-36.79
sector 13,4.5,4.0,4950.0,810000.0000000001,-3427396.0,-36.69
sector 95,0.43,2.0,1300.0,77400.00000000001,-380769.0,-40.25
sector 102,1.38,3.0,1315.0,248400.0,-1051724.0,-36.7
sector 25,15.5,5.0,4518.0,2790000.0000000005,-11167274.0,-35.4
sector 71,1.35,4.0,2127.0,243000.00000000003,-1069535.0,-37.61
sector 65,3.0,4.0,1975.0,540000.0000000001,-2226331.0,-36.08
sohna road,0.32,2.0,616.0,57600.00000000001,-270331.0,-39.12
sector 107,0.75,2.0,1201.0,135000.00000000003,-601781.0,-37.9
sector 107,0.36,2.0,496.0,64800.00000000001,-292792.0,-38.22
sector 89,1.0,2.0,1226.0,180000.00000000003,-779358.0,-37.22
sohna road,0.35,2.0,658.0,63000.00000000001,-293513.0,-38.95
sector 48,4.3,4.0,3444.0,774000.0000000001,-3214006.0,-36.25
sector 67a,1.7,3.0,1346.0,306000.00000000006,-1278976.0,-36.4
sector 69,1.36,3.0,1392.0,244800.00000000006,-1041310.0,-36.81
sector 56,3.4,6.0,1530.0,612000.0000000001,-2487175.0,-35.75
sector 67,3.0,4.0,2800.0,540000.0000000001,-2265931.0,-36.49
sector 43,14.0,9.0,3510.0,2520000.0000000005,-10060624.0,-35.35
sector 108,3.95,3.0,2343.0,711000.0000000001,-2914230.0,-35.95
sector 54,5.7,4.0,2430.0,1026000.0000000001,-4153049.0,-35.66
sector 90,1.65,4.0,2468.0,297000.00000000006,-1297556.0,-37.43
sector 2,0.95,2.0,1444.0,171000.00000000003,-754547.0,-37.66
sector 90,1.25,3.0,1929.0,225000.00000000003,-989480.0,-37.59
sector 110,3.79,5.0,3466.0,682200.0000000001,-2855252.0,-36.43
sector 110,0.34,2.0,270.0,61200.000000000015,-267834.0,-37.47
sector 24,3.5,2.0,1080.0,630000.0000000001,-2536126.0,-35.54
sector 102,1.75,3.0,1465.0,315000.00000000006,-1319963.0,-36.46
sector 70a,0.9,2.0,1319.0,162000.00000000003,-713271.0,-37.61
sector 61,1.58,2.0,1278.0,284400.00000000006,-1191050.0,-36.45
sector 92,0.5,3.0,579.0,90000.00000000001,-395547.0,-37.57
sector 48,5.5,4.0,2340.0,990000.0000000001,-4007627.0,-35.66
sector 111,0.36,1.0,450.0,64800.00000000001,-290584.0,-38.04
sector 69,2.0,4.0,1889.0,360000.00000000006,-1516693.0,-36.58
sector 67,8.0,6.0,3600.0,1440000.0000000002,-5831882.0,-35.67
sector 47,2.45,3.0,2544.0,441000.00000000006,-1865612.0,-36.68
sector 69,2.05,4.0,1889.0,369000.00000000006,-1551968.0,-36.55
sector 104,4.45,4.0,7222.0,801000.0000000001,-3501177.0,-37.44
sector 102,1.42,2.0,1368.0,255600.00000000003,-1082489.0,-36.71
sector 113,2.4,3.0,1940.0,432000.00000000006,-1801345.0,-36.35
sector 21,0.6,3.0,972.0,108000.00000000001,-484962.0,-38.08
sector 26,17.0,5.0,4518.0,3060000.0000000005,-12225539.0,-35.36
sector 108,2.5,3.0,1480.0,450000.00000000006,-1849816.0,-36.02
sector 52,1.5,4.0,1484.0,270000.00000000006,-1144497.0,-36.73
sector 78,1.15,3.0,1969.0,207000.00000000003,-920849.0,-37.86
sector 107,0.28,2.0,543.0,50400.000000000015,-238607.0,-39.33
sector 36,0.85,3.0,833.0,153000.00000000003,-654668.0,-36.95
sector 81,3.45,4.0,2527.0,621000.0000000001,-2570307.0,-36.17
sector 72,4.25,4.0,2941.0,765000.0000000001,-3154587.0,-36.09
sector 89,1.2,3.0,1423.0,216000.00000000003,-929916.0,-37.09
sector 103,0.5,2.0,698.0,90000.00000000001,-401259.0,-37.91
sector 88a,1.45,2.0,133.0,261000.00000000003,-1044374.0,-35.4
sector 66,2.8,3.0,1950.0,504000.00000000006,-2084029.0,-36.15
sector 23,2.8,5.0,1557.0,504000.00000000006,-2065165.0,-35.94
sector 109,6.75,4.0,6228.0,1215000.0000000002,-5076139.0,-36.39
sector 7,1.15,5.0,1350.0,207000.00000000003,-891137.0,-37.09
sector 95,0.45,2.0,571.0,81000.00000000001,-359888.0,-37.83
sector 91,1.75,4.0,2139.0,315000.00000000006,-1352315.0,-37.02
sector 83,1.1,3.0,1600.0,198000.00000000003,-867861.0,-37.51
sector 68,1.7,4.0,1809.0,306000.00000000006,-1301200.0,-36.8
sector 108,0.7,2.0,1720.0,126000.00000000001,-591417.0,-39.13
sector 2,1.51,3.0,1738.0,271800.00000000006,-1163745.0,-36.96
sector 86,0.44,2.0,668.0,79200.00000000001,-357489.0,-38.2
sector 102,2.35,3.0,2351.0,423000.00000000006,-1785797.0,-36.63
sector 104,1.75,4.0,2582.0,315000.00000000006,-1373579.0,-37.39
sector 69,1.75,4.0,1783.0,315000.00000000006,-1335227.0,-36.73
sector 92,0.6,2.0,1195.0,108000.00000000001,-495666.0,-38.59
sector 56,1.38,3.0,1910.0,248400.0,-1080284.0,-37.32
sector 90,0.9,3.0,1765.0,162000.00000000003,-734679.0,-38.31
sector 26,4.45,4.0,1265.0,801000.0000000001,-3215241.0,-35.47
sector 31,3.25,4.0,1449.0,585000.0000000001,-2377460.0,-35.75
sector 79,0.36,2.0,546.0,64800.00000000001,-295192.0,-38.42
sector 54,7.0,4.0,2715.0,1260000.0000000002,-5083892.0,-35.59
sector 83,1.4,3.0,1582.0,252000.00000000003,-1078650.0,-36.95
sector 50,2.35,3.0,2000.0,423000.00000000006,-1768949.0,-36.41
sector 85,2.15,4.0,2366.0,387000.00000000006,-1645415.0,-36.8
sector 108,2.95,3.0,2003.0,531000.0000000001,-2192399.0,-36.12
sector 3,1.1,2.0,956.0,198000.00000000003,-836949.0,-36.66
sector 47,4.3,3.0,1467.0,774000.0000000001,-3119110.0,-35.56
sector 78,1.25,4.0,2300.0,225000.00000000003,-1007288.0,-38.01
sector 78,1.2,1.0,823.0,216000.00000000003,-901116.0,-36.36
sector 105,9.9,2.0,2000.0,1782000.0000000002,-7095552.0,-35.29
sector 113,3.35,3.0,2200.0,603000.0000000001,-2484060.0,-36.07
sector 70a,1.8,3.0,1925.0,324000.00000000006,-1377319.0,-36.79
sector 50,7.1,5.0,2160.0,1278000.0000000002,-5127803.0,-35.46
sector 79,0.71,2.0,1295.0,127800.00000000001,-578072.0,-38.25
sector 84,1.48,3.0,1624.0,266400.00000000006,-1137107.0,-36.89
sector 70,1.25,3.0,1688.0,225000.00000000003,-977912.0,-37.31
sector 67,2.87,3.0,2095.0,516600.00000000006,-2140375.0,-36.2
sector 61,2.2,3.0,1811.0,396000.00000000006,-1654051.0,-36.39
sector 109,1.65,3.0,1650.0,297000.00000000006,-1258292.0,-36.71
sector 83,1.4,3.0,1387.0,252000.00000000003,-1069290.0,-36.75
sector 77,1.4,3.0,1735.0,252000.00000000003,-1085994.0,-37.11
sector 43,5.8,6.0,1935.0,1044000.0000000001,-4199840.0,-35.52
sector 113,3.21,3.0,2281.0,577800.0000000001,-2389176.0,-36.15
sector 3,0.9,3.0,3500.0,162000.00000000003,-817959.0,-40.88
sector 72,8.5,5.0,6300.0,1530000.0000000002,-6314238.0,-36.11
sector 83,0.4,1.0,520.0,72000.00000000001,-322164.0,-37.99
sector 67,2.95,3.0,2150.0,531000.0000000001,-2199455.0,-36.19
sector 95,1.1,4.0,2824.0,198000.00000000003,-926613.0,-39.06
sector 37,1.0,3.0,1629.0,180000.00000000003,-798702.0,-37.8
sector 82,1.0,2.0,1299.0,180000.00000000003,-782862.0,-37.33
manesar,0.92,3.0,1924.0,165600.00000000003,-756421.0,-38.48
sector 95,0.45,2.0,887.0,81000.00000000001,-375056.0,-38.8
sector 90,1.25,4.0,2330.0,225000.00000000003,-1008728.0,-38.04
sector 65,2.35,3.0,1493.0,423000.00000000006,-1744613.0,-36.09
sector 69,1.4,3.0,1392.0,252000.00000000003,-1069530.0,-36.76
sector 95,0.55,2.0,990.0,99000.00000000001,-450551.0,-38.39
sector 105,0.74,3.0,1000.0,133200.00000000003,-585078.0,-37.56
sector 54,11.0,4.0,2826.0,1980000.0000000002,-7911261.0,-35.36
sector 39,1.8,1.0,800.0,324000.00000000006,-1323319.0,-35.87
sector 92,1.0,4.0,2167.0,180000.00000000003,-824526.0,-38.55
sector 90,0.65,2.0,1176.0,117000.00000000001,-530030.0,-38.28
sector 79,1.3,2.0,1423.0,234000.00000000003,-1000467.0,-36.93
sector 110,3.49,4.0,3077.0,628200.0000000001,-2624927.0,-36.39
sector 49,6.75,4.0,2088.0,1215000.0000000002,-4877419.0,-35.47
sector 102,1.05,2.0,1017.0,189000.00000000003,-804602.0,-36.83
sector 28,2.26,3.0,1700.0,406800.0,-1691053.0,-36.27
sector 56,0.5,1.0,667.0,90000.00000000001,-399771.0,-37.82
sector 61,2.54,3.0,1639.0,457200.00000000006,-1885668.0,-36.09
sector 79,2.0,3.0,1963.0,360000.00000000006,-1520245.0,-36.64
sector 90,0.95,3.0,1667.0,171000.00000000003,-765251.0,-38.0
sector 79,1.12,2.0,1325.0,201600.00000000006,-868772.0,-37.11
sector 2,1.01,2.0,1281.0,181800.00000000003,-789053.0,-37.28
sector 104,2.3,3.0,2217.0,414000.00000000006,-1744090.0,-36.58
sector 50,6.0,4.0,3982.0,1080000.0000000002,-4439198.0,-36.01
sector 66,12.0,5.0,3240.0,2160000.0000000005,-8636644.0,-35.38
sector 92,0.92,4.0,1895.0,165600.00000000003,-755029.0,-38.44
sector 113,3.25,4.0,2553.0,585000.0000000001,-2430452.0,-36.26
sector 90,1.76,4.0,2020.0,316800.00000000006,-1353658.0,-36.91
sector 69,1.75,4.0,1819.0,315000.00000000006,-1336955.0,-36.76
sector 43,5.25,4.0,1935.0,945000.0000000001,-3811809.0,-35.58
sector 43,2.5,7.0,963.0,450000.00000000006,-1825000.0,-35.71
sector 104,0.4,2.0,515.0,72000.00000000001,-321924.0,-37.98
sector 90,0.9,3.0,1765.0,162000.00000000003,-734679.0,-38.31
sector 102,0.95,2.0,915.0,171000.00000000003,-729155.0,-36.86
sector 70a,1.7,4.0,2111.0,306000.00000000006,-1315696.0,-37.06
sector 4,0.47,2.0,50.0,84600.00000000001,-348990.0,-36.1
sector 106,0.95,2.0,940.0,171000.00000000003,-730355.0,-36.9
sector 69,1.37,3.0,1392.0,246600.00000000006,-1048365.0,-36.79
sohna road,0.35,2.0,616.0,63000.00000000001,-291497.0,-38.79
sector 82a,1.8,3.0,1545.0,324000.00000000006,-1359079.0,-36.48
sohna road,1.35,5.0,1350.0,243000.00000000003,-1032239.0,-36.78
sector 50,2.51,3.0,2093.0,451800.0,-1886295.0,-36.38
sector 5,0.22,2.0,570.0,39600.00000000001,-197572.0,-40.59
sector 74,2.45,3.0,1800.0,441000.00000000006,-1829900.0,-36.23
sector 69,1.2,2.0,1100.0,216000.00000000003,-914412.0,-36.7
sector 86,1.25,3.0,1529.0,225000.00000000003,-970280.0,-37.13
sector 46,2.2,3.0,909.0,396000.00000000006,-1610755.0,-35.77
sector 28,1.91,2.0,1278.0,343800.00000000006,-1423869.0,-36.19
sohna road,0.95,2.0,1129.0,171000.00000000003,-739427.0,-37.19
sector 89,0.88,2.0,1103.0,158400.00000000003,-688793.0,-37.32
sector 48,7.69,4.0,3195.0,1384200.0000000002,-5593734.0,-35.62
sector 78,1.1,3.0,2176.0,198000.00000000003,-895509.0,-38.25
sector 13,0.9,2.0,785.0,162000.00000000003,-687639.0,-36.76
sector 69,1.32,3.0,1419.0,237600.00000000003,-1014386.0,-36.89
sector 70,1.9,3.0,1765.0,342000.00000000006,-1440190.0,-36.57
sector 59,4.25,3.0,2077.0,765000.0000000001,-3113115.0,-35.78
sector 26,4.5,5.0,1350.0,810000.0000000001,-3254596.0,-35.49
sohna road,1.2,3.0,1780.0,216000.00000000003,-947052.0,-37.52
sector 81,2.2,3.0,1900.0,396000.00000000006,-1658323.0,-36.45
sector 49,4.05,3.0,2000.0,729000.0000000001,-2968317.0,-35.8
sector 55,3.1,5.0,1548.0,558000.0000000001,-2276386.0,-35.84
sector 74,1.55,2.0,1300.0,279000.00000000006,-1170941.0,-36.5
sector 89,1.5,3.0,1923.0,270000.00000000006,-1165569.0,-37.15
sector 4,0.65,2.0,500.0,117000.00000000001,-497582.0,-36.8
sector 88a,1.5,3.0,1674.0,270000.00000000006,-1153617.0,-36.91
sector 33,1.1,2.0,1100.0,198000.00000000003,-843861.0,-36.85
sector 109,5.85,4.0,2214.0,1053000.0000000002,-4248507.0,-35.59
sector 82,1.75,4.0,2535.0,315000.00000000006,-1371323.0,-37.35
sector 28,1.39,2.0,1450.0,250200.0,-1065259.0,-36.83
sector 28,5.5,4.0,3406.0,990000.0000000001,-4058795.0,-35.96
sector 66,3.2,3.0,1800.0,576000.0000000001,-2359033.0,-35.93
sector 70,1.0,3.0,1078.0,180000.00000000003,-772254.0,-37.01
sector 47,5.15,3.0,1935.0,927000.0000000001,-3741258.0,-35.59
sector 81,0.88,2.0,1223.0,158400.00000000003,-694553.0,-37.52
sector 108,2.9,3.0,2003.0,522000.00000000006,-2157124.0,-36.14
sector 92,0.75,3.0,1415.0,135000.00000000003,-612053.0,-38.3
sector 56,7.25,8.0,2471.0,1305000.0000000002,-5248558.0,-35.51
sector 13,0.45,1.0,936.0,81000.00000000001,-377408.0,-38.95
sector 88a,1.62,3.0,1463.0,291600.00000000006,-1228151.0,-36.58
sector 50,11.5,5.0,3240.0,2070000.0000000002,-8283888.0,-35.4
sector 57,3.6,4.0,1728.0,648000.0000000001,-2637781.0,-35.79
sector 46,3.6,5.0,1449.0,648000.0000000001,-2624389.0,-35.67
sector 65,2.01,2.0,1482.0,361800.0,-1504212.0,-36.28
sector 92,0.21,1.0,336.0,37800.00000000001,-179285.0,-39.37
sector 60,2.05,2.0,1520.0,369000.00000000006,-1534256.0,-36.28
sector 56,0.45,1.0,543.0,81000.00000000001,-358544.0,-37.74
sector 37d,0.75,2.0,1410.0,135000.00000000003,-611813.0,-38.29
sector 65,6.15,3.0,3027.0,1107000.0000000002,-4499184.0,-35.76
sector 89,1.16,3.0,1581.0,208800.00000000003,-909280.0,-37.36
sector 79,2.03,3.0,2031.0,365400.0,-1544674.0,-36.66
sector 37,1.43,3.0,1845.0,257400.00000000003,-1112440.0,-37.18
sector 90,0.92,3.0,1493.0,165600.00000000003,-735733.0,-37.83
sector 49,4.52,5.0,3724.0,813600.0,-3382659.0,-36.28
sector 43,5.25,4.0,2570.0,945000.0000000001,-3842289.0,-35.76
sector 79,1.3,3.0,1176.0,234000.00000000003,-988611.0,-36.65
sector 63a,1.4,2.0,1372.0,252000.00000000003,-1068570.0,-36.74
sector 6,1.25,2.0,120.0,225000.00000000003,-902648.0,-35.46
sector 108,3.25,3.0,2072.0,585000.0000000001,-2407364.0,-36.04
sector 92,0.99,3.0,1091.0,178200.00000000003,-765823.0,-37.05
sector 79,1.3,2.0,1223.0,234000.00000000003,-990867.0,-36.7
sector 46,5.5,8.0,2385.0,990000.0000000001,-4009787.0,-35.68
sector 17,7.2,4.0,4494.0,1296000.0000000002,-5310386.0,-35.94
sector 90,1.65,4.0,2214.0,297000.00000000006,-1285364.0,-37.21
sector 37,0.9,3.0,1537.0,162000.00000000003,-723735.0,-37.96
